session_id,thread_name,repo,task_id,attribution,session_path,first_timestamp_utc,last_timestamp_utc,input_tokens,cached_input_tokens,uncached_input_tokens,output_tokens,cached_output_tokens,uncached_output_tokens,reasoning_output_tokens,total_tokens,total_time,token_event_count,task_ref_candidates,attribution_sources
019d284e-6543-7f11-96ea-1666df83d2e9,Implement pass 4 sync,c:\Agent\Crystallize,Unattributed,unattributed,C:\Users\gregs\.codex\sessions\2026\03\26\rollout-2026-03-26T00-01-59-019d284e-6543-7f11-96ea-1666df83d2e9.jsonl,2026-03-26T04:02:03.265000+00:00,2026-03-26T04:18:22.400000+00:00,2373571,2269952,103619,42906,0,42906,21299,2416477,20,35,,
019d284f-f4b3-7f53-b2aa-58eaeb09890b,Locate pass definitions,c:\Agent\Crystallize,Unattributed,unattributed,C:\Users\gregs\.codex\sessions\2026\03\26\rollout-2026-03-26T00-03-41-019d284f-f4b3-7f53-b2aa-58eaeb09890b.jsonl,2026-03-26T04:03:46.345000+00:00,2026-03-26T04:13:37.991000+00:00,2269332,1883776,385556,20313,0,20313,9934,2289645,20,25,,
019d285e-f268-7fa3-9d55-5284f5928548,Implement pass 5 sync,c:\Agent\Crystallize,Unattributed,unattributed,C:\Users\gregs\.codex\sessions\2026\03\26\rollout-2026-03-26T00-20-04-019d285e-f268-7fa3-9d55-5284f5928548.jsonl,2026-03-26T04:20:09.758000+00:00,2026-03-26T04:41:48.050000+00:00,4009450,3924224,85226,57246,0,57246,27776,4066696,30,44,,
019d2873-ec9a-7960-a1b4-3c8859d940db,Locate clip upload service,c:\Agent\Crystallize,Unattributed,unattributed,C:\Users\gregs\.codex\sessions\2026\03\26\rollout-2026-03-26T00-42-59-019d2873-ec9a-7960-a1b4-3c8859d940db.jsonl,2026-03-26T04:43:24.567000+00:00,2026-03-26T04:44:43.995000+00:00,196262,99200,97062,3382,0,3382,1206,199644,10,6,,
019d2876-d3d6-7080-9162-a01622561756,Implement pass 6 sync,c:\Agent\Crystallize,Unattributed,unattributed,C:\Users\gregs\.codex\sessions\2026\03\26\rollout-2026-03-26T00-46-09-019d2876-d3d6-7080-9162-a01622561756.jsonl,2026-03-26T04:46:12.710000+00:00,2026-03-26T05:08:33.349000+00:00,4039523,3843072,196451,56339,0,56339,30271,4095862,30,41,,
019d288d-a694-7d51-8352-fbfdbb3fc82a,Reorganize task-0001 docs,C:\Agent\Crystallize,Task-0001,task_ref,C:\Users\gregs\.codex\sessions\2026\03\26\rollout-2026-03-26T01-11-05-019d288d-a694-7d51-8352-fbfdbb3fc82a.jsonl,2026-03-26T05:13:42.579000+00:00,2026-03-26T05:28:22.977000+00:00,1313164,1148800,164364,22116,0,22116,13186,1335280,20,27,c:\agent\crystallize:Task-0001:2228,user_active_or_request:46;user_message:26;tool_call_args:27;tool_output:626
019d289f-4322-72d2-9ae3-15b6a52eeb8d,Start local app for testing,C:\Agent\Crystallize,Task-0001,task_ref,C:\Users\gregs\.codex\sessions\2026\03\26\rollout-2026-03-26T01-30-19-019d289f-4322-72d2-9ae3-15b6a52eeb8d.jsonl,2026-03-26T05:30:32.034000+00:00,2026-03-26T15:28:02.784000+00:00,27802511,22781056,5021455,157352,0,157352,77870,28052455,200,228,c:\agent\crystallize:Task-0001:6811,user_active_or_request:325;user_message:213;tool_call_args:50;tool_output:567
019d295f-4bc5-7cb2-ac56-c671ae498b37,,,Unattributed,unattributed,C:\Users\gregs\.codex\sessions\2026\03\26\rollout-2026-03-26T05-00-04-019d295f-4bc5-7cb2-ac56-c671ae498b37.jsonl,2026-03-26T09:00:09.730000+00:00,2026-03-26T09:07:01.155000+00:00,360085,203904,156181,15231,0,15231,11506,375316,10,8,,
019d295f-4bd3-76a1-baae-88fc3d040507,,,Unattributed,unattributed,C:\Users\gregs\.codex\sessions\2026\03\26\rollout-2026-03-26T05-00-04-019d295f-4bd3-76a1-baae-88fc3d040507.jsonl,2026-03-26T09:00:09.645000+00:00,2026-03-26T09:07:50.181000+00:00,275045,122880,152165,18580,0,18580,12029,293625,10,6,,
019d295f-4bfe-7e63-a866-13101e64f88f,,,Unattributed,unattributed,C:\Users\gregs\.codex\sessions\2026\03\26\rollout-2026-03-26T05-00-04-019d295f-4bfe-7e63-a866-13101e64f88f.jsonl,2026-03-26T09:00:09.850000+00:00,2026-03-26T09:09:31.539000+00:00,306256,163072,143184,21962,0,21962,13538,328218,10,7,,
